_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
887210,4156313,2017.0,,1965.0,TCHC,20,Scarborough Southwest,3181 EGLINTON AVE E,7,103,2022-06-29,53,Evaluation needs to be conducted in 1 year,19,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,E2027,43.7426293696,-79.2196525266,327364.75800000003,4844556.449
887211,4153980,2017.0,,1959.0,PRIVATE,8,Eglinton-Lawrence,665 ROSELAWN AVE,5,87,2022-06-22,80,Evaluation needs to be conducted in 2 years,19,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,,N0833,43.705178016000005,-79.425108275,310820.12,4840361.5430000005
887212,4155584,2017.0,,1970.0,TCHC,22,Scarborough-Agincourt,365 BAY MILLS BLVD,13,186,2022-06-13,93,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,,3.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,E2226,43.7812403712,-79.3008424612,320815.234,4848827.17
887213,4155686,2017.0,,2003.0,SOCIAL HOUSING,8,Eglinton-Lawrence,651 LAWRENCE AVE W,3,24,2022-06-13,85,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,3.0,,4.0,,3.0,,,5.0,4.0,5.0,5.0,4.0,4.0,,5.0,5.0,4.0,N0827,43.716103619399995,-79.4429013897,309385.499,4841573.16
887214,4848750,2021.0,,1954.0,PRIVATE,19,Beaches-East York,996 O'CONNOR DR,3,18,2022-06-10,65,Evaluation needs to be conducted in 1 year,15,3.0,3.0,4.0,3.0,2.0,4.0,,3.0,,,3.0,4.0,5.0,3.0,3.0,3.0,,3.0,3.0,,S1921,43.709175201899995,-79.3105723901,320050.275,4840819.291
887215,4155591,2017.0,,1968.0,TCHC,9,Davenport,61 PELHAM PARK GDNS,17,352,2022-06-10,65,Evaluation needs to be conducted in 1 year,20,3.0,4.0,5.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,S0926,43.66925972,-79.457795659,308187.607,4836369.289
887216,4155743,2017.0,,1954.0,PRIVATE,20,Scarborough Southwest,3015 D QUEEN ST E,4,16,2022-05-31,81,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,E2033,43.6747055108,-79.2773893392,322734.656,4836996.393999999
887217,4153409,2017.0,,1970.0,PRIVATE,10,Spadina-Fort York,164 GRANGE AVE,3,24,2022-05-28,59,Evaluation needs to be conducted in 1 year,15,2.0,3.0,4.0,2.0,2.0,3.0,,4.0,,,3.0,3.0,5.0,2.0,3.0,3.0,3.0,2.0,,,S1023,43.651378351400005,-79.40116552180001,312757.065,4834385.593
887218,4156118,2017.0,,1969.0,TCHC,13,Toronto Centre,325 BLEECKER ST,24,327,2022-05-27,82,Evaluation needs to be conducted in 2 years,18,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,,S1323,43.669381383,-79.37437191,314915.151,4836389.54
887219,4156176,2018.0,,1953.0,PRIVATE,19,Beaches-East York,7 STAG HILL DR,4,37,2022-05-27,89,Evaluation needs to be conducted in 3 years,17,5.0,4.0,5.0,4.0,4.0,5.0,,4.0,,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,,S1927,43.703054654,-79.310513888,320053.882,4840170.906
