neighbourhood,n_id,designation,pop_2016,pop_2011,pop_change,private_dwellings,occupied_dwllings,pop_dens,area,total_commuters,drive,car_passenger,transit,walk,bike,other,pct_bike
Agincourt North,129,No Designation,29113,30279,-0.039,9371,9120,3929,7.41,11820,7155,930,3350,265,70,45,0.005922165820642978
Agincourt South-Malvern West,128,No Designation,23757,21988,0.08,8535,8136,3034,7.83,10160,6135,665,2985,280,35,65,0.0034448818897637795
Alderwood,20,No Designation,12054,11904,0.013000000000000001,4732,4616,2435,4.95,6045,4090,355,1285,195,65,65,0.010752688172043012
Annex,95,No Designation,30526,29177,0.046,18109,15934,10863,2.81,14910,3290,290,6200,3200,1675,225,0.11234071093226022
Banbury-Don Mills,42,No Designation,27695,26918,0.028999999999999998,12473,12124,2775,9.98,11395,7150,500,2945,615,65,140,0.005704256252742431
Bathurst Manor,34,No Designation,15873,15434,0.027999999999999997,6418,6089,3377,4.7,7360,3910,265,2870,215,15,90,0.0020380434782608695
Bay Street Corridor,76,No Designation,25797,19348,0.33299999999999996,18436,15074,14097,1.83,11815,1780,165,3540,5840,325,175,0.027507405840033854
Bayview Village,52,No Designation,21396,17671,0.21100000000000002,10111,9532,4195,5.1,9825,5270,385,3695,345,30,100,0.0030534351145038168
Bayview Woods-Steeles,49,No Designation,13154,13530,-0.027999999999999997,4895,4698,3240,4.06,4965,2920,240,1610,110,10,65,0.002014098690835851
Bedford Park-Nortown,39,No Designation,23236,23185,0.002,9052,8607,4209,5.52,9520,5940,355,2415,550,90,180,0.009453781512605041
Beechborough-Greenbrook,112,NIA,6577,6488,0.013999999999999999,2796,2650,3614,1.82,2655,1235,175,1105,100,20,20,0.007532956685499058
Bendale,127,No Designation,29960,27876,0.075,11293,10766,4011,7.47,12430,6465,620,4680,520,45,100,0.0036202735317779565
Birchcliffe-Cliffside,122,No Designation,22291,21856,0.02,9637,9198,3765,5.92,10100,5695,480,3210,415,140,140,0.013861386138613862
Black Creek,24,NIA,21737,22057,-0.015,7671,7324,6282,3.46,7910,4040,735,2720,245,85,85,0.010745891276864728
Blake-Jones,69,No Designation,7727,7763,-0.005,3269,3125,8134,0.95,3380,1075,115,1605,225,305,40,0.09023668639053255
Briar Hill-Belgravia,108,No Designation,14257,14302,-0.003,6080,5737,7791,1.83,7220,2870,305,3595,305,60,85,0.008310249307479225
Bridle Path-Sunnybrook-York Mills,41,No Designation,9266,8713,0.063,3478,3241,1040,8.91,3220,2240,140,580,165,35,75,0.010869565217391304
Broadview North,57,No Designation,11499,11563,-0.006,5812,5663,6764,1.7,5585,2010,165,2710,345,295,55,0.052820053715308866
Brookhaven-Amesbury,30,No Designation,17757,17787,-0.002,6667,6482,5045,3.52,7925,3825,395,3380,255,25,55,0.0031545741324921135
Cabbagetown-South St. James Town,71,No Designation,11669,12053,-0.032,6761,6442,8335,1.4,6055,1295,120,2010,1805,710,105,0.11725846407927333
Caledonia-Fairbank,109,No Designation,9955,9851,0.011000000000000001,3935,3680,6464,1.54,4950,2070,470,2130,160,70,55,0.014141414141414142
Casa Loma,96,No Designation,10968,10487,0.046,5833,5406,5683,1.93,5090,2040,130,1970,630,215,100,0.04223968565815324
Centennial Scarborough,133,No Designation,13362,13093,0.021,4439,4379,2479,5.39,6170,3955,350,1675,110,0,70,0.0
Church-Yonge Corridor,75,No Designation,31340,28349,0.106,21983,19680,23044,1.36,18135,2705,245,7000,7275,690,190,0.0380479735318445
City of Toronto,,,2731571,2615060,0.045,1179057,1112929,4334,630.2,1251055,575255,57170,463000,107665,34355,13610,0.02746082306533286
Clairlea-Birchmount,120,No Designation,26984,24770,0.08900000000000001,9529,9246,3632,7.43,12390,5860,560,5435,340,90,80,0.007263922518159807
Clanton Park,33,No Designation,16472,14612,0.127,6881,6554,3979,4.14,8075,4195,280,3230,200,80,85,0.009907120743034056
Cliffcrest,123,No Designation,15935,15703,0.015,6094,5902,2273,7.01,6795,3970,260,2320,170,35,40,0.0051508462104488595
Corso Italia-Davenport,92,No Designation,14133,13743,0.027999999999999997,5903,5489,7478,1.89,7255,2980,500,3020,330,355,70,0.04893177119228118
Danforth,66,No Designation,9666,9444,0.024,4108,3925,8554,1.13,4615,1545,155,2290,295,295,40,0.06392199349945829
Danforth East York,59,No Designation,17180,16712,0.027999999999999997,7275,7022,7881,2.18,8035,3380,355,3370,425,400,120,0.049782202862476664
Don Valley Village,47,No Designation,27051,26739,0.012,10196,9968,6441,4.2,11480,5845,510,4605,375,20,140,0.0017421602787456446
Dorset Park,126,Emerging Neighbourhood,25003,24363,0.026000000000000002,8995,8777,4146,6.03,11015,5580,600,4255,440,55,95,0.004993191103041307
Dovercourt-Wallace Emerson-Junction,93,No Designation,36625,34631,0.057999999999999996,16248,15320,9819,3.73,19090,5825,820,8950,1215,1980,310,0.1037192247249869
Downsview-Roding-CFB,26,NIA,35052,34659,0.011000000000000001,14244,13121,2337,15.0,16165,8405,1060,6085,460,10,145,0.0006186204763377668
Dufferin Grove,83,No Designation,11785,11449,0.028999999999999998,5815,5436,8540,1.38,6295,1655,185,3010,600,775,80,0.12311358220810167
East End-Danforth,62,No Designation,21381,20839,0.026000000000000002,9535,9180,8038,2.66,10050,4145,365,4410,610,365,160,0.03631840796019901
Edenbridge-Humber Valley,9,No Designation,15535,14943,0.04,6606,6254,2840,5.47,7095,4490,345,2010,175,40,45,0.005637773079633545
Eglinton East,138,NIA,22776,22829,-0.002,8199,7912,7051,3.23,9265,3940,445,4595,195,10,65,0.0010793308148947653
Elms-Old Rexdale,5,NIA,9456,9550,-0.01,3344,3219,3306,2.86,4045,2350,250,1330,70,20,30,0.004944375772558714
Englemount-Lawrence,32,Emerging Neighbourhood,22372,22086,0.013000000000000001,8858,8247,6466,3.46,8920,3890,265,3945,590,85,150,0.00952914798206278
Eringate-Centennial-West Deane,11,No Designation,18588,18810,-0.012,6977,6863,2171,8.56,8665,5980,465,1945,180,35,75,0.004039238315060588
Etobicoke West Mall,13,No Designation,11848,10927,0.084,4727,4583,6582,1.8,5550,3185,315,1750,200,65,45,0.011711711711711712
Flemingdon Park,44,NIA,21933,22168,-0.011000000000000001,7964,7830,9026,2.43,8380,3705,260,3860,405,50,90,0.0059665871121718375
Forest Hill North,102,No Designation,12806,12474,0.027000000000000003,5784,5446,8054,1.59,6290,2910,185,2720,280,95,90,0.015103338632750398
Forest Hill South,101,No Designation,10732,10926,-0.018000000000000002,5353,4951,4380,2.45,4805,2355,100,1830,285,150,85,0.031217481789802288
Glenfield-Jane Heights,25,NIA,30491,31390,-0.028999999999999998,10423,9917,5864,5.2,11555,6205,975,3965,280,55,90,0.004759844223279966
Greenwood-Coxwell,65,No Designation,14417,14083,0.024,6443,6053,8582,1.68,6875,2395,275,3050,485,580,85,0.08436363636363636
Guildwood,140,No Designation,9917,9816,0.01,4044,3991,2673,3.71,4165,2490,175,1320,130,10,50,0.0024009603841536613
Henry Farm,53,No Designation,15723,11333,0.387,6646,6362,6047,2.6,7260,3105,325,3425,340,20,65,0.0027548209366391185
High Park North,88,No Designation,22162,21292,0.040999999999999995,11541,11023,11726,1.89,11350,3665,235,6260,520,565,90,0.04977973568281938
High Park-Swansea,87,No Designation,23925,21740,0.10099999999999999,11526,10877,4893,4.89,11935,5310,345,4725,620,810,130,0.06786761625471303
Highland Creek,134,No Designation,12494,13097,-0.046,3907,3700,2403,5.2,5725,3805,325,1480,75,25,15,0.004366812227074236
Hillcrest Village,48,No Designation,16934,17656,-0.040999999999999995,6642,6398,3148,5.38,6430,3695,320,2170,180,10,40,0.0015552099533437014
Humber Heights-Westmount,8,Emerging Neighbourhood,10948,10583,0.034,4261,4136,3981,2.75,4345,2800,205,1200,65,10,55,0.0023014959723820483
Humber Summit,21,NIA,12416,12525,-0.009000000000000001,4288,3897,1570,7.91,5050,3225,365,1305,95,10,35,0.0019801980198019802
Humbermede,22,NIA,15545,15853,-0.019,5390,5052,3565,4.36,6705,3925,505,2070,115,20,55,0.002982848620432513
Humewood-Cedarvale,106,No Designation,14365,14108,0.018000000000000002,6865,6566,7682,1.87,7450,2585,275,3725,450,280,140,0.03758389261744966
Ionview,125,NIA,13641,13091,0.042,5312,5168,7031,1.94,6085,2440,255,3025,235,30,95,0.0049301561216105174
Islington-City Centre West,14,No Designation,43965,38084,0.154,19911,19328,2712,16.21,22055,11775,975,8205,795,90,195,0.004080707322602585
Junction Area,90,No Designation,14366,14027,0.024,6431,6029,5442,2.64,7580,2860,285,3335,535,525,45,0.06926121372031663
Keelesdale-Eglinton West,110,NIA,11058,10638,0.039,4575,4182,6467,1.71,4980,2410,465,1835,185,50,35,0.010040160642570281
Kennedy Park,124,NIA,17123,17058,0.004,6885,6576,4770,3.59,7435,3335,325,3505,125,45,80,0.00605245460659045
Kensington-Chinatown,78,No Designation,17945,18495,-0.03,9745,8735,11806,1.52,8405,1100,165,2245,3840,940,120,0.11183819155264724
Kingsview Village-The Westway,6,NIA,22000,21723,0.013000000000000001,8159,7782,4356,5.05,8835,5335,450,2665,270,45,65,0.0050933786078098476
Kingsway South,15,No Designation,9271,9170,0.011000000000000001,3710,3584,3593,2.58,3735,2210,120,1185,115,30,50,0.008032128514056224
L'Amoreaux,117,Emerging Neighbourhood,43993,44919,-0.021,15486,15037,6144,7.16,17715,10005,1220,5895,370,85,120,0.004798193621224951
Lambton Baby Point,114,No Designation,7985,7921,0.008,3217,3121,4697,1.7,3465,1610,135,1400,140,125,40,0.03607503607503607
Lansing-Westgate,38,No Designation,16164,14642,0.10400000000000001,6943,6588,3038,5.32,7585,3705,195,3015,530,30,115,0.003955174686882004
Lawrence Park North,105,No Designation,14607,14541,0.005,5622,5418,6407,2.28,6465,3065,195,2695,340,85,85,0.013147718484145398
Lawrence Park South,103,No Designation,15179,15070,0.006999999999999999,6017,5749,4685,3.24,6615,3480,305,2160,420,135,110,0.02040816326530612
Leaside-Bennington,56,No Designation,16828,17011,-0.011000000000000001,6712,6436,3596,4.68,7410,4475,350,1795,505,235,65,0.03171390013495277
Little Portugal,84,No Designation,15559,12050,0.29100000000000004,8095,7427,12859,1.21,8965,2555,275,3450,1335,1260,90,0.14054656999442275
Long Branch,19,No Designation,10084,9632,0.047,5145,4815,4584,2.2,5290,3145,230,1585,175,110,45,0.020793950850661626
Malvern,132,Emerging Neighbourhood,43794,45086,-0.028999999999999998,13936,13426,4948,8.85,19225,10785,1400,6425,425,60,115,0.0031209362808842654
Maple Leaf,29,No Designation,10111,10197,-0.008,3696,3556,4012,2.52,4580,2495,225,1620,180,10,60,0.002183406113537118
Markland Wood,12,No Designation,10554,10436,0.011000000000000001,4348,4309,3614,2.92,4665,3025,275,1085,180,40,55,0.00857449088960343
Milliken,130,No Designation,26572,27167,-0.022000000000000002,7825,7681,2830,9.39,10480,6540,1145,2510,180,40,50,0.003816793893129771
Mimico (includes Humber Bay Shores),17,No Designation,33964,26541,0.28,20486,17781,4915,6.91,17975,11095,760,5040,505,310,265,0.017246175243393603
Morningside,135,NIA,17455,17587,-0.008,6044,5879,3041,5.74,7450,4240,505,2485,130,10,75,0.0013422818791946308
Moss Park,73,No Designation,20506,16306,0.258,12513,11554,14753,1.39,10420,2195,165,3295,3915,690,155,0.06621880998080615
Mount Dennis,115,NIA,13593,13145,0.034,5386,5177,6442,2.11,5925,2725,330,2665,125,25,40,0.004219409282700422
Mount Olive-Silverstone-Jamestown,2,NIA,32954,32788,0.005,10220,9875,7291,4.52,12600,6965,930,4110,385,35,170,0.002777777777777778
Mount Pleasant East,99,No Designation,16775,15982,0.05,7715,7438,5411,3.1,7765,3590,310,2890,675,215,85,0.027688345138441726
Mount Pleasant West,104,No Designation,29658,28593,0.037000000000000005,18495,17497,21969,1.35,16745,4745,370,9435,1840,250,100,0.014929829799940281
New Toronto,18,No Designation,11463,10900,0.052000000000000005,5657,5372,3342,3.43,5520,2995,240,1815,265,155,60,0.028079710144927536
Newtonbrook East,50,No Designation,16097,16423,-0.02,6470,6114,3926,4.1,6600,3245,295,2705,270,35,55,0.005303030303030303
Newtonbrook West,36,No Designation,23831,23052,0.034,9416,8960,5070,4.7,10565,4760,625,4535,470,55,130,0.005205868433506862
Niagara,82,No Designation,31180,21274,0.466,19660,18774,10156,3.07,21125,6820,640,6965,5070,1330,285,0.0629585798816568
North Riverdale,68,No Designation,11916,12191,-0.023,5306,5008,6770,1.76,5875,1940,175,2335,695,615,115,0.1046808510638298
North St. James Town,74,No Designation,18615,17832,0.044000000000000004,10109,9558,44321,0.42,9220,1290,140,5230,1945,475,135,0.05151843817787419
O'Connor-Parkview,54,No Designation,18675,18316,0.02,7713,7468,3780,4.94,8075,4040,375,3240,245,95,85,0.011764705882352941
Oakridge,121,NIA,13845,13497,0.026000000000000002,5586,5282,7444,1.86,4980,1795,130,2725,245,35,50,0.007028112449799197
Oakwood Village,107,No Designation,21210,21073,0.006999999999999999,9235,8687,9511,2.23,10110,3825,410,4930,390,430,140,0.04253214638971316
Old East York,58,No Designation,9233,9118,0.013000000000000001,3960,3790,3997,2.31,4525,2370,235,1560,170,145,30,0.032044198895027624
Palmerston-Little Italy,80,No Designation,13826,13746,0.006,6862,6334,9601,1.44,7710,1755,175,2775,1390,1470,135,0.19066147859922178
Parkwoods-Donalda,45,No Designation,34805,34617,0.005,13921,13315,4691,7.42,15270,8580,820,5275,420,45,115,0.0029469548133595285
Pelmo Park-Humberlea,23,No Designation,10722,8710,0.231,3860,3710,2547,4.21,5300,3460,330,1375,85,10,40,0.0018867924528301887
Playter Estates-Danforth,67,No Designation,7804,7653,0.02,3767,3576,8671,0.9,3860,1110,105,1980,355,255,50,0.06606217616580311
Pleasant View,46,No Designation,15818,16144,-0.02,5703,5519,5273,3.0,6790,3980,420,2155,135,35,70,0.005154639175257732
Princess-Rosethorn,10,No Designation,11051,11197,-0.013000000000000001,3958,3861,2138,5.17,4800,3515,230,950,75,0,30,0.0
Regent Park,72,NIA,10803,10007,0.08,5183,4960,16880,0.64,4730,1130,115,2245,880,300,60,0.06342494714587738
Rexdale-Kipling,4,No Designation,10529,10488,0.004,3989,3846,4229,2.49,4730,2930,235,1345,150,25,55,0.005285412262156448
Rockcliffe-Smythe,111,NIA,22246,22267,-0.001,9487,9055,4414,5.04,9705,4860,690,3630,360,85,95,0.008758371973209686
Roncesvalles,86,No Designation,14974,15050,-0.005,7305,6887,9851,1.52,7310,2340,195,2845,715,1075,140,0.14705882352941177
Rosedale-Moore Park,98,No Designation,20923,20631,0.013999999999999999,10702,10054,4500,4.65,9010,3430,300,3530,1200,325,210,0.03607103218645949
Rouge,131,No Designation,46496,45912,0.013000000000000001,13730,13389,1260,36.89,21500,13665,1510,5935,220,20,160,0.0009302325581395349
Runnymede-Bloor West Village,89,No Designation,10070,9632,0.045,3987,3818,6333,1.59,4790,2195,95,1960,255,265,30,0.055323590814196244
Rustic,28,NIA,9941,9951,-0.001,3726,3650,4734,2.1,3590,1905,200,1370,90,0,25,0.0
Scarborough Village,139,NIA,16724,16609,0.006999999999999999,6133,5923,5395,3.1,6250,3065,350,2570,210,0,50,0.0
South Parkdale,85,NIA,21849,21251,0.027999999999999997,12085,11390,9583,2.28,11180,2610,225,5785,1305,1145,120,0.10241502683363149
South Riverdale,70,No Designation,27876,25642,0.087,12732,12073,3136,8.89,13765,5000,655,5315,1425,1145,200,0.08318198329095532
St.Andrew-Windfields,40,No Designation,17812,17958,-0.008,6685,6428,2430,7.33,7155,4555,245,1975,270,20,80,0.002795248078266946
Steeles,116,Emerging Neighbourhood,24623,25017,-0.016,8032,7819,5436,4.53,9370,5860,975,2195,245,20,60,0.0021344717182497333
Stonegate-Queensway,16,No Designation,25051,24691,0.015,10896,10377,3199,7.83,11750,7090,440,3505,380,235,115,0.02
Tam O'Shanter-Sullivan,118,No Designation,27446,27398,0.002,10384,10063,5073,5.41,10920,5950,705,3820,300,35,110,0.003205128205128205
Taylor-Massey,61,NIA,15683,15594,0.006,6452,6272,15528,1.01,6665,1940,135,4245,260,55,35,0.008252063015753939
The Beaches,63,No Designation,21567,21130,0.021,9926,9428,6058,3.56,10220,5165,590,2995,750,570,135,0.05577299412915851
Thistletown-Beaumond Heights,3,NIA,10360,10138,0.022000000000000002,3472,3280,3130,3.31,4345,2860,320,1030,110,15,20,0.0034522439585730723
Thorncliffe Park,55,NIA,21108,19225,0.098,7225,7123,6787,3.11,7025,2835,290,3190,565,55,90,0.007829181494661922
Trinity-Bellwoods,81,No Designation,16556,16802,-0.015,7562,6910,9570,1.73,8255,2075,315,2605,1760,1380,125,0.16717141126589946
University,79,No Designation,7607,7782,-0.022000000000000002,3826,3393,5395,1.41,3505,585,90,1260,950,555,65,0.15834522111269614
Victoria Village,43,NIA,17510,17182,0.019,7562,7412,3710,4.72,7330,3650,320,3025,260,20,55,0.002728512960436562
Waterfront Communities-The Island,77,No Designation,65913,43361,0.52,47209,40756,8943,7.37,43785,9100,760,10915,20855,1570,610,0.035857028662784056
West Hill,136,NIA,27392,26547,0.032,10318,9986,2856,9.59,11050,5980,640,3990,290,30,95,0.0027149321266968325
West Humber-Clairville,1,No Designation,33312,34100,-0.023,11045,10285,1117,29.81,15575,9445,1140,4380,425,60,95,0.0038523274478330658
Westminster-Branson,35,Emerging Neighbourhood,26274,25446,0.033,10454,10234,7339,3.58,11905,5585,550,5275,345,60,110,0.00503989920201596
Weston,113,NIA,17992,18170,-0.01,8061,7600,7197,2.5,7805,4015,430,2975,285,30,90,0.003843689942344651
Weston-Pelham Park,91,NIA,11098,12010,-0.076,4559,4226,7601,1.46,5185,2070,415,2200,225,205,70,0.03953712632594021
